# http://fitlayout.github.io/resource/art3 -> https://www.imdb.com/title/tt0285331/fullcredits/
character=Jack Bauer	name=Kiefer Sutherland	episodes=195 episodes, 2001-2010 	
character=Operative	name=Thomas Lumberg Jr.	episodes=1 episode, 2009 	
character=Lead FBI Agent	name=Troy Mittleider	episodes=1 episode, 2009 	
character=Phil Holden	name=John Eric Bentley	episodes=1 episode, 2010 	
character=Gerrard	name=Charlie Bodin	episodes=1 episode, 2010 	
character=Commando 	name=John Antonini	episodes=1 episode, 2010 	
character=Sergeant Kiley	name=John Cothran	episodes=1 episode, 2001 	
character=Ben	name=Chuck Walczak	episodes=1 episode, 2001 	
character=Vincent	name=Gary Murphy	episodes=1 episode, 2001 	
character=Dave	name=Gregory Sporleder	episodes=1 episode, 2002 	
character=Dockerty	name=Christopher Murray	episodes=1 episode, 2002 	
character=Charles McLemore	name=Jesse Corti	episodes=1 episode, 2002 	
character=Agent Holmes	name=Mina Badie	episodes=1 episode, 2002 	
character=Cam Strocker	name=Antonio David Lyons	episodes=1 episode, 2002 	
character=Bus Stop Man	name=Mark Clayman	episodes=1 episode, 2002 	
character=Fire Marshal	name=Richard Gross	episodes=1 episode, 2002 	
character=Nancy	name=Tracy E. Wilson	episodes=1 episode, 2002 	
character=First Waiter	name=John Tague	episodes=1 episode, 2002 	
character=Anna	name=Talitha Peters	episodes=1 episode, 2002 	
character=Buchanan	name=Leonard Roberts	episodes=1 episode, 2003 	
character=Colonel Lamb	name=Edward Edwards	episodes=1 episode, 2003 	
character=Simon Cullens	name=Carlos Sanz	episodes=1 episode, 2003 	
character=Gus	name=Adam Vernier	episodes=1 episode, 2003 	
character=Trap Door Agent	name=Dane Northcutt	episodes=1 episode, 2003 	
character=Male Reporter	name=Rick Lozano	episodes=1 episode, 2003 	
character=Bill	name=Christopher Stanley	episodes=1 episode, 2004 	
character=Bruce Margolis	name=JD Cullum	episodes=1 episode, 2004 	
character=LAPD Officer 	name=Conroe Brooks	episodes=1 episode, 2004 	
character=Delta Pilot	name=Thomas Hildreth	episodes=1 episode, 2004 	
character=Melissa	name=Myndy Crist	episodes=1 episode, 2005 	
character=Sgt. Dennis McGrath	name=Alex Skuby	episodes=1 episode, 2005 	
character=Kevin Keeler	name=Chris Olivero	episodes=1 episode, 2005 	
character=Henchman	name=Peter Macdissi	episodes=1 episode, 2005 	
character=Omar	name=Peter Macdissi	episodes=1 episode, 2005 	
character=Jennie	name=Wylie Small	episodes=1 episode, 2005 	
character=Presidential Aide	name=Stacy Solodkin	episodes=1 episode, 2005 	
character=Jin	name=Ryun Yu	episodes=1 episode, 2005 	
character=Conrad Haas	name=Jeff Kober	episodes=1 episode, 2006 	
character=CTU Agent	name=Tohoru Masamune	episodes=1 episode, 2006 	
character=Operative	name=Kevin E. West	episodes=1 episode, 2006 	
character=Nathanson	name=Kevin E. West	episodes=1 episode, 2006 	
character=DHS Field Agent	name=Aaron McPherson	episodes=1 episode, 2006 	
character=John Stratton	name=Sky Soleil	episodes=1 episode, 2006 	
character=Lieutenant Southern	name=Don Fischer	episodes=1 episode, 2006 	
character=Baggage Handler	name=Adam Donshik	episodes=1 episode, 2006 	
character=Brady Hauser	name=Scott Michael Campbell	episodes=1 episode, 2007 	
character=General Walsh	name=James Horan	episodes=1 episode, 2007 	
character=Blake Simon	name=D.C. Douglas	episodes=1 episode, 2007 	
character=Cabinet Secretary 	name=Brenda Wehle	episodes=1 episode, 2007 	
character=Robin	name=Mary Chris Wall	episodes=1 episode, 2007 	
character=Taj	name=Samir Younis	episodes=1 episode, 2007 	
character=Prion Variant 	name=Jennifer Hetrick	episodes=1 episode, 2009 	
character=FBI Agent 	name=Burt Bulos	episodes=1 episode, 2009 	
character=Dr. Lee Schulman	name=Ned Schmidtke	episodes=1 episode, 2009 	
character=Driver	name=Pablo Espinosa	episodes=1 episode, 2009 	
character=Mayer	name=Pablo Espinosa	episodes=1 episode, 2009 	
character=FBI Policeman 	name=Omar Leyva	episodes=1 episode, 2009 	
character=Morgan	name=Ian Paul Cassidy	episodes=1 episode, 2009 	
character=Dr. Stahl	name=Armando Molina	episodes=1 episode, 2009 	
character=EMT	name=Adam LeClair	episodes=1 episode, 2009 	
character=CNB Anchor	name=Brian Bolter	episodes=1 episode, 2009 	
character=Agent Torres	name=Jaime Gomez	episodes=1 episode, 2010 	
character=Agent Trask	name=Joseph Will	episodes=1 episode, 2010 	
character=Haigney	name=Marc Aden Gray	episodes=1 episode, 2010 	
character=CTU Guard Jim Payne	name=Jamison Haase	episodes=1 episode, 2010 	
character=Bellow	name=John T. Woods	episodes=1 episode, 2010 	
character=Soldier 	name=Mark Allan Stewart	episodes=1 episode, 2010 	
character=Nest Operative	name=Brent Schraff	episodes=1 episode, 2010 	
character=NYPD Officer	name=Mark DeLisle	episodes=1 episode, 2010 	
character=Victor Rovner	name=Jeff Ricketts	episodes=1 episode, 2001 	
character=Nurse	name=Norma Maldonado	episodes=1 episode, 2001 	
character=Jared	name=Ron Roggé	episodes=1 episode, 2002 	
character=Prime Minister	name=Mike Saad	episodes=1 episode, 2002 	
character=Phil	name=Connor	episodes=1 episode, 2002 	
character=Phil	name=Steve O	episodes=1 episode, 2002 	
character=Kid	name=Desmond Bull	episodes=1 episode, 2002 	
character=CTU Helicopter Crewman	name=Morocco Omari	episodes=1 episode, 2003 	
character=Melinda Kale	name=Zina Zaflow	episodes=1 episode, 2003 	
character=Nurse Clara	name=Misty Carlisle	episodes=1 episode, 2003 	
character=Fareed Ali	name=Ike Bram	episodes=1 episode, 2003 	
character=Lieutenant Jim Wong	name=Philip Moon	episodes=1 episode, 2004 	
character=Woman	name=Liann Pattison	episodes=1 episode, 2004 	
character=Agent Liles	name=Charlie Sandlan	episodes=1 episode, 2004 	
character=Laurie Hansen	name=Amy Benedict	episodes=1 episode, 2005 	
character=Officer Pantell	name=Kent Faulcon	episodes=1 episode, 2005 	
character=Officer Bill Dodson	name=James McCauley	episodes=1 episode, 2005 	
character=Medic	name=Taneka Johnson	episodes=1 episode, 2005 	
character=Agent Davis	name=Tom McCafferty	episodes=1 episode, 2005 	
character=Maurice Landstrass	name=Thomas Tofel	episodes=1 episode, 2005 	
character=Agent Drake	name=Leesa Severyn	episodes=1 episode, 2005 	
character=Burke	name=Taylor Nichols	episodes=1 episode, 2006 	
character=Harry Swinton	name=Peter Holden	episodes=1 episode, 2006 	
character=Federal Marshal	name=Matthew Jones	episodes=1 episode, 2006 	
character=Kohler	name=Eric Winzenried	episodes=1 episode, 2006 	
character=Penthouse Security Guard 	name=Scott Vance	episodes=1 episode, 2006 	
character=Airport Security Guard	name=Bernard Addison	episodes=1 episode, 2006 	
character=Cooper	name=Jeff Campbell	episodes=1 episode, 2006 	
character=Marcus	name=Pat Healy	episodes=1 episode, 2007 	
character=Survivor	name=Lyn Alicia Henderson	episodes=1 episode, 2007 	
character=CTU SWAT Agent	name=Brian Silverman	episodes=1 episode, 2007 	
character=Secretary Dawes	name=Bob Morrisey	episodes=1 episode, 2007 	
character=Ian	name=Rueben Grundy	episodes=1 episode, 2007 	
character=Yusuf Amar	name=Ruben Pla	episodes=1 episode, 2007 	
character=Rogers	name=Butch Hammett	episodes=1 episode, 2007 	
character=Dr. Wyndham	name=Cas Anvar	episodes=1 episode, 2009 	
character=Arthur Carr	name=David Fury	episodes=1 episode, 2009 	
character=Kevin Aldridge	name=John Rosenfeld	episodes=1 episode, 2009 	
character=FBI Field Agent	name=Aaron James Cash	episodes=1 episode, 2009 	
character=Greer	name=Stephen Jared	episodes=1 episode, 2009 	
character=Secret Service Agent	name=Clint Jung	episodes=1 episode, 2009 	
character=Resident 	name=Robert A. Johnson	episodes=1 episode, 2009 	
character=Molly O	name=Christina Cox	episodes=1 episode, 2010 	
character=Connor	name=Christina Cox	episodes=1 episode, 2010 	
character=Operative	name=Stefan Kapicic	episodes=1 episode, 2010 	
character=Davros	name=Stefan Kapicic	episodes=1 episode, 2010 	
character=Soldier 	name=Jonathan Kowalsky	episodes=1 episode, 2010 	
character=Aide	name=Adam Tsekhman	episodes=1 episode, 2010 	
character=Suvarov	name=Adam Tsekhman	episodes=1 episode, 2010 	
character=Air Force Pilot	name=Mark Engelhardt	episodes=1 episode, 2010 	
character=Bailiff	name=David Michie	episodes=1 episode, 2010 	
character=CTU Agent 	name=Kaitlyn Benson	episodes=1 episode, 2010 	
character=Dr. Wynan	name=Jonathan Strait	episodes=1 episode, 2010 	
character=CTU Swat 	name=Demond Robertson	episodes=1 episode, 2010 	
character=Rocco	name=Steph DuVall	episodes=1 episode, 2001 	
character=Flight Attendant	name=Petra Wright	episodes=1 episode, 2001 	
character=Craig	name=Noel Gugliemi	episodes=1 episode, 2002 	
character=Mina	name=Esther K. Chae	episodes=1 episode, 2002 	
character=Military Official	name=David Ursin	episodes=1 episode, 2002 	
character=Lewis	name=Martin Morales	episodes=1 episode, 2002 	
character=Inmate 	name=John Pyper-Ferguson	episodes=1 episode, 2003 	
character=Major John Blanchard	name=Steve Rankin	episodes=1 episode, 2003 	
character=News Reporter	name=Daphne Bloomer	episodes=1 episode, 2003 	
character=Prison Guard 	name=Steve Heinze	episodes=1 episode, 2003 	
character=Reporter	name=Christine Devine	episodes=1 episode, 2004 	
character=CTU Forensics Agent	name=David Kelsey	episodes=1 episode, 2004 	
character=Stevens	name=J. Scott Shonka	episodes=1 episode, 2004 	
character=CTU Security Wilson	name=Andy Rolfes	episodes=1 episode, 2004 	
character=Hotel Guest	name=Paris Tanaka	episodes=1 episode, 2004 	
character=Marwan	name=Sunil Malhotra	episodes=1 episode, 2005 	
character=Pilot	name=Sunil Malhotra	episodes=1 episode, 2005 	
character=Hurt Woman	name=Elyse Mirto	episodes=1 episode, 2005 	
character=George Kliavkoff	name=Timothy Davis-Reed	episodes=1 episode, 2005 	
character=Jeannie Paige	name=Annie LaRussa	episodes=1 episode, 2005 	
character=Lover	name=Chris Eckles	episodes=1 episode, 2005 	
character=Farah	name=Chris Eckles	episodes=1 episode, 2005 	
character=Hank	name=Robert Rusler	episodes=1 episode, 2006 	
character=College Student	name=Jerad Anderson	episodes=1 episode, 2006 	
character=Penthouse Security Guard 	name=J. David Shanks	episodes=1 episode, 2006 	
character=Captain Riggs	name=Tim Talman	episodes=1 episode, 2006 	
character=Wilshire Security Guard	name=Frank Silva	episodes=1 episode, 2006 	
character=Passenger 	name=Keith Pillow	episodes=1 episode, 2006 	
character=Checkpoint Agent	name=Musashi Alexander	episodes=1 episode, 2006 	
character=Marine Sergeant	name=Mike Smith	episodes=1 episode, 2007 	
character=Middle Eastern Man	name=Kahlil Joseph	episodes=1 episode, 2007 	
character=Assistant	name=Jayson Victor	episodes=1 episode, 2007 	
character=Bradley	name=Jayson Victor	episodes=1 episode, 2007 	
character=Agent Hobson	name=Chris Ufland	episodes=1 episode, 2009 	
character=Chuck Toland	name=Murphy Guyer	episodes=1 episode, 2009 	
character=EMT 	name=Jade Carter	episodes=1 episode, 2009 	
character=Nurse	name=Janora McDuffie	episodes=1 episode, 2009 	
character=Biohazard Agent	name=Emil Beheshti	episodes=1 episode, 2009 	
character=Resident 	name=Mike Baldridge	episodes=1 episode, 2009 	
character=Agent Smith	name=Kurt Meyer	episodes=1 episode, 2009 	
character=Agent Miller	name=Marc Schaffer	episodes=1 episode, 2009 	
character=DCPD Officer 	name=Joe Wandell	episodes=1 episode, 2009 	
character=Soldier 	name=Inna Korobkina	episodes=1 episode, 2010 	
character=Sniper	name=Cliff Simon	episodes=1 episode, 2010 	
character=Davros	name=Cliff Simon	episodes=1 episode, 2010 	
character=Female Reporter	name=Nayo Wallace	episodes=1 episode, 2010 	
character=CTU Worker	name=Kevin Kelly	episodes=1 episode, 2010 	
character=Anesthesiologist	name=Ariel Felix	episodes=1 episode, 2001 	
character=Douglas Newman	name=Tony Perez	episodes=1 episode, 2001 	
character=Teenager 	name=Marcus Brown	episodes=1 episode, 2001 	
character=Flight Attendant	name=Karen Kim	episodes=1 episode, 2001 	
character=Chris	name=Jason Matthew Smith	episodes=1 episode, 2002 	
character=Agent Rosser	name=Billy Mayo	episodes=1 episode, 2002 	
character=Cop	name=Manny Perry	episodes=1 episode, 2002 	
character=Lyons	name=Gwen Stewart	episodes=1 episode, 2002 	
character=Female Worker	name=Shirin Sharif	episodes=1 episode, 2002 	
character=District Medic	name=Josh Clark	episodes=1 episode, 2003 	
character=Asad Ali	name=Raja Fenske	episodes=1 episode, 2003 	
character=Prime Minister of Turkey	name=Braeden Marcott	episodes=1 episode, 2003 	
character=Maggie	name=Lilas Lane	episodes=1 episode, 2003 	
character=Sandra	name=Vivian Guzman	episodes=1 episode, 2003 	
character=Agent Parker	name=Derrick L. McMillon	episodes=1 episode, 2003 	
character=Assistant	name=Matt Kaminsky	episodes=1 episode, 2004 	
character=Phillips	name=Matt Kaminsky	episodes=1 episode, 2004 	
character=Man	name=Bob Jesser	episodes=1 episode, 2004 	
character=Female Intel Agent	name=Angelena Swords	episodes=1 episode, 2004 	
character=Alice	name=Kyme	episodes=1 episode, 2004 	
character=Hotel Guest	name=Sue Jin Song	episodes=1 episode, 2004 	
character=Brody	name=Jeff Griggs	episodes=1 episode, 2005 	
character=Sergeant Phillips	name=Eric Ritter	episodes=1 episode, 2005 	
character=Ned	name=Eddie Mekka	episodes=1 episode, 2006 	
character=Doctor Hill	name=Tim Rhoze	episodes=1 episode, 2006 	
character=Russian Officer	name=Dominic Comperatore	episodes=1 episode, 2006 	
character=Meghan	name=Karla Zamudio	episodes=1 episode, 2006 	
character=Female Bar Patron	name=Lissa Pallo	episodes=1 episode, 2006 	
character=Spokesman	name=Mark Henderson	episodes=1 episode, 2006 	
character=National Guard Sergeant	name=James Parks	episodes=1 episode, 2007 	
character=Omar	name=Mante	episodes=1 episode, 2007 	
character=Omar	name=Adrian R	episodes=1 episode, 2007 	
character=Suvarov	name=Eugene Alper	episodes=1 episode, 2007 	
character=Aide Gregor	name=Eugene Alper	episodes=1 episode, 2007 	
character=Raymond Howell	name=Dominic Hoffman	episodes=1 episode, 2009 	
character=Dr. Cornell	name=Bobby Hosea	episodes=1 episode, 2009 	
character=Andrews	name=Wally Rudolph	episodes=1 episode, 2009 	
character=Sangalan Villager 	name=Chris Erric Maddox	episodes=1 episode, 2009 	
character=Dubaku Man 	name=Maurice McRae	episodes=1 episode, 2009 	
character=Fynn	name=Brian Jude Leahy	episodes=1 episode, 2009 	
character=Nurse Mitchell	name=Heidi Wallace	episodes=1 episode, 2009 	
character=Phillips	name=James Jordan	episodes=1 episode, 2010 	
character=Ruth Scott	name=Becky Wahlstrom	episodes=1 episode, 2010 	
character=General Wasim	name=Bashar Rahal	episodes=1 episode, 2010 	
character=Soldier	name=Simon Anthony	episodes=1 episode, 2010 	
character=Male Reporter	name=Kevin Ashworth	episodes=1 episode, 2010 	
character=NYPD Officer Mund	name=Brian Hyman	episodes=1 episode, 2010 	
character=CTU Analyst	name=Jane Condon	episodes=1 episode, 2010 	
character=Surgical Nurse	name=Linda Klein	episodes=1 episode, 2001 	
character=Receptionist	name=Sharon Madden	episodes=1 episode, 2001 	
character=Reporter	name=Lisa Joyner	episodes=1 episode, 2002 	
character=Deng	name=Tony Lee	episodes=1 episode, 2002 	
character=G. Harding	name=Maurice G. Smith	episodes=1 episode, 2002 	
character=Nurse	name=Michelle Anne Johnson	episodes=1 episode, 2002 	
character=Bob Jorgensen	name=Lewis Dauber	episodes=1 episode, 2002 	
character=Field Reporter	name=John Sterling Carter	episodes=1 episode, 2002 	
character=Security Guard	name=Maurice Dunster	episodes=1 episode, 2002 	
character=Rita Cullens	name=Deena Dill	episodes=1 episode, 2003 	
character=Douglas Shaye	name=Lorry Goldman	episodes=1 episode, 2003 	
character=Zach Parker	name=Jf Pryor	episodes=1 episode, 2003 	
character=Jeff Benson	name=Ty Upshaw	episodes=1 episode, 2003 	
character=Driver	name=Fred Saldone	episodes=1 episode, 2003 	
character=Wife	name=Shaheen Vaaz	episodes=1 episode, 2003 	
character=Syed Ali	name=Shaheen Vaaz	episodes=1 episode, 2003 	
character=Jason Carasone	name=Ed Wasser	episodes=1 episode, 2004 	
character=Dorman	name=Eamon Hunt	episodes=1 episode, 2004 	
character=Delta Medic	name=Sven Erik Lindstrom	episodes=1 episode, 2004 	
character=Agent Dalton	name=Gary Weeks	episodes=1 episode, 2005 	
character=Train Engineer	name=William Badgett	episodes=1 episode, 2005 	
character=Captain Clarke	name=Michael Borgschulte	episodes=1 episode, 2005 	
character=Taxi Driver	name=Kevin Scott Allen	episodes=1 episode, 2006 	
character=Businessman	name=Lou Richards	episodes=1 episode, 2006 	
character=European Woman	name=Aleksandra Kaniak	episodes=1 episode, 2006 	
character=Lead LAPD Officer	name=Brandon Ford Green	episodes=1 episode, 2006 	
character=CTU Agent	name=Michael Eric Strickland	episodes=1 episode, 2006 	
character=KHGC Field Reporter	name=Elizabeth Espinosa	episodes=1 episode, 2006 	
character=Ticket Agent	name=Van Epperson	episodes=1 episode, 2007 	
character=Field Reporter	name=Robb Weller	episodes=1 episode, 2007 	
character=Floor Manager	name=Richard Rosser	episodes=1 episode, 2007 	
character=Agent Mark	name=Stephen Wastell	episodes=1 episode, 2007 	
character=Young East Asian Man	name=Benito Paje	episodes=1 episode, 2007 	
character=CTU SWAT Medic	name=Eric Cazenave	episodes=1 episode, 2007 	
character=Meredith Rojas	name=Alyson Croft	episodes=1 episode, 2009 	
character=Token Booth Operator	name=Eileen Galindo	episodes=1 episode, 2009 	
character=Marine Squad Leader	name=Darren Keefe Reiher	episodes=1 episode, 2009 	
character=Boyd Engineer	name=Charles Emmett	episodes=1 episode, 2009 	
character=Agent Alves	name=Billoah Greene	episodes=1 episode, 2009 	
character=Sangalan Villager 	name=Carshénah Jefferson	episodes=1 episode, 2009 	
character=Nurse	name=Detra Payne	episodes=1 episode, 2009 	
character=Berkov	name=Andy Davoli	episodes=1 episode, 2010 	
character=Father Gregor	name=Matthew Wolf	episodes=1 episode, 2010 	
character=Dr. Laura Hendricks	name=Jane McLean Guerra	episodes=1 episode, 2010 	
character=NYPD Officer 	name=Eddie Goines	episodes=1 episode, 2010 	
character=Teshon	name=Sam Sarpong	episodes=1 episode, 2010 	
character=Surgeon	name=Rolando Boyce	episodes=1 episode, 2010 	
character=Sterling Rush	name=Danny Kashper	episodes=1 episode, 2010 	
character=Presidential Aide 	name=Shauna McGarry	episodes=1 episode, 2010 	
character=Arabic Girl	name=Talin Silva	episodes=1 episode, 2010 	
character=Cop 	name=Aaron Norvell	episodes=1 episode, 2010 	
character=Police Officer	name=Donnell	episodes=1 episode, 2010 	
character=Police Officer	name=David J. O	episodes=1 episode, 2010 	
character=Dr. Kinnard	name=James Healy Jr.	episodes=1 episode, 2001 	
character=Woman	name=Kathy Byron	episodes=1 episode, 2001 	
character=LAPD Officer	name=Benjamin Koldyke	episodes=1 episode, 2002 	
character=Rick	name=Brad Grunberg	episodes=1 episode, 2002 	
character=Security Guard	name=Marty Ryan	episodes=1 episode, 2002 	
character=Colonel Ted Graham	name=R.A. Buck	episodes=1 episode, 2002 	
character=Mark	name=Burke Stuart	episodes=1 episode, 2002 	
character=Virologist	name=Keith MacKechnie	episodes=1 episode, 2003 	
character=Chuck	name=Mark Arnott	episodes=1 episode, 2003 	
character=Detective Fisher	name=David Reivers	episodes=1 episode, 2003 	
character=Officer Brooks	name=Henry LeBlanc	episodes=1 episode, 2003 	
character=Nurse	name=Mary Wickliffe	episodes=1 episode, 2004 	
character=CTU Doctor	name=Fred Griffith	episodes=1 episode, 2004 	
character=Operative	name=Gavin Glennon	episodes=1 episode, 2004 	
character=Saunders	name=Gavin Glennon	episodes=1 episode, 2004 	
character=Guard	name=Nathanial Moon	episodes=1 episode, 2004 	
character=Amador	name=Nathanial Moon	episodes=1 episode, 2004 	
character=Hana	name=Pamela Bel Anu	episodes=1 episode, 2005 	
character=Agent Jones	name=David Joyner	episodes=1 episode, 2006 	
character=Mara Tyler	name=Josie DiVincenzo	episodes=1 episode, 2006 	
character=Agent M. Dunley	name=Terry Woodberry	episodes=1 episode, 2006 	
character=CRT Agent	name=Angelo Perez	episodes=1 episode, 2006 	
character=Alpha 7	name=Terrence Wayne	episodes=1 episode, 2006 	
character=Sam	name=Mark Bramhall	episodes=1 episode, 2007 	
character=CTU Field Agent	name=Brian Johnson	episodes=1 episode, 2007 	
character=Medic 	name=James Ellis Lane	episodes=1 episode, 2007 	
character=EMT	name=Francisco Viana	episodes=1 episode, 2007 	
character=Hale	name=Winston Story	episodes=1 episode, 2009 	
character=Nurse 	name=Lucy Butler	episodes=1 episode, 2009 	
character=DCPD Pilot	name=Hector Atreyu Ruiz	episodes=1 episode, 2009 	
character=Sangalan Villager 	name=Jermel Nakia	episodes=1 episode, 2009 	
character=Airport Security Guard 	name=Derwin Jordan	episodes=1 episode, 2009 	
character=Federal Marshal	name=Glenn Davis	episodes=1 episode, 2009 	
character=Transit Cop 	name=Ryan Smith	episodes=1 episode, 2009 	
character=IRK Security Guard	name=Jonathan Avigdori	episodes=1 episode, 2010 	
character=Captain Ravello	name=Greg Collins	episodes=1 episode, 2010 	
character=Woman	name=Tania Verafield	episodes=1 episode, 2010 	
character=Ivan	name=Michael Petrone	episodes=1 episode, 2010 	
character=Agent Swofford	name=Tripp Pickell	episodes=1 episode, 2010 	
character=EMT 	name=Tony Elias	episodes=1 episode, 2010 	
character=Fredericks	name=Mickey Maxwell	episodes=1 episode, 2010 	
character=CTU SWAT Sniper	name=Jerald Vincent	episodes=1 episode, 2010 	
character=Secret Service Agent	name=Mike Siegel	episodes=1 episode, 2001 	
character=Secret Service Agent	name=Michael Nagy	episodes=1 episode, 2002 	
character=Jason Park	name=Boyuen	episodes=1 episode, 2002 	
character=Doug Sloan	name=Stan Carlson	episodes=1 episode, 2002 	
character=Partner	name=Mariah Pasos	episodes=1 episode, 2002 	
character=Sam	name=Mariah Pasos	episodes=1 episode, 2002 	
character=Mall Security Guard	name=Michael G. Canaan	episodes=1 episode, 2003 	
character=Sam Tyler	name=Sean Smith	episodes=1 episode, 2004 	
character=Salazar Guard	name=Frank Alvarez	episodes=1 episode, 2004 	
character=Convenience Store Woman	name=Heather Long	episodes=1 episode, 2005 	
character=Jim	name=Dominick LaRae	episodes=1 episode, 2005 	
character=Viktor Grigorin	name=Marat Oyvetsky	episodes=1 episode, 2006 	
character=Son	name=Joey Munguia	episodes=1 episode, 2006 	
character=Meghan	name=Joey Munguia	episodes=1 episode, 2006 	
character=Medic	name=Joseph Griffin	episodes=1 episode, 2007 	
character=Security Station Agent	name=Eddie Driscoll	episodes=1 episode, 2007 	
character=Nurse	name=K.T. Thangavelu	episodes=1 episode, 2007 	
character=Malek	name=Muttalib J. Ibrahim	episodes=1 episode, 2007 	
character=News Anchor	name=Mark Joyella	episodes=1 episode, 2007 	
character=Robert	name=Richard Roat	episodes=1 episode, 2009 	
character=Helicopter Pilot	name=Boo Arnold	episodes=1 episode, 2009 	
character=Sangalan Villager 	name=Constance Ejuma	episodes=1 episode, 2009 	
character=Technician 	name=Reginald James	episodes=1 episode, 2009 	
character=Nurse 	name=Ali Chen	episodes=1 episode, 2009 	
character=Nurse Corinna	name=Rachel Andersen	episodes=1 episode, 2009 	
character=Niel	name=Jim Staples	episodes=1 episode, 2009 	
character=O	name=Jim Staples	episodes=1 episode, 2009 	
character=NYPD Patrolman	name=Chris Caldovino	episodes=1 episode, 2010 	
character=Rabinowitz	name=Robert Dolan	episodes=1 episode, 2010 	
character=Janitor	name=Jose Vasquez	episodes=1 episode, 2001 	
character=Abbott	name=Nynno Ahli	episodes=1 episode, 2001 	
character=Marshall Goren	name=Carl Ciarfalio	episodes=1 episode, 2002 	
character=Hazmat Paramedic	name=Max Delgado	episodes=1 episode, 2002 	
character=Ken Williams	name=Demitri Fields	episodes=1 episode, 2002 	
character=Don	name=Darin Cooper	episodes=1 episode, 2003 	
character=Red Shirt Guy	name=Bill Kalmenson	episodes=1 episode, 2004 	
character=Marcy	name=Neisha Folkes-LeMelle	episodes=1 episode, 2004 	
character=First Reporter	name=John Nielsen	episodes=1 episode, 2004 	
character=Sarah	name=Jaclyn Sara Silvers	episodes=1 episode, 2004 	
character=Dan	name=Danny Arroyo	episodes=1 episode, 2005 	
character=Fayed	name=Ludwig Manukian	episodes=1 episode, 2007 	
character=Henchman	name=Ludwig Manukian	episodes=1 episode, 2007 	
character=Yuli	name=Michael Khmurov	episodes=1 episode, 2007 	
character=Julie	name=Julie Quinn	episodes=1 episode, 2007 	
character=FAA Official	name=Phil Abrams	episodes=1 episode, 2009 	
character=Flight Attendant 	name=Jill Remez	episodes=1 episode, 2009 	
character=Ranger Thompson	name=Chase Kim	episodes=1 episode, 2009 	
character=Sangalan Villager 	name=Artel Great	episodes=1 episode, 2009 	
character=Transit Cop 	name=Randolph Adams	episodes=1 episode, 2009 	
character=Nurse	name=Patty Onagan	episodes=1 episode, 2009 	
character=Nurse	name=Presciliana Esparolini	episodes=1 episode, 2010 	
character=Wasim	name=Philip Shahbaz	episodes=1 episode, 2010 	
character=Officer	name=Philip Shahbaz	episodes=1 episode, 2010 	
character=Agent Rahim	name=Steve Filice	episodes=1 episode, 2010 	
character=Press Reporter	name=Jane Park Smith	episodes=1 episode, 2010 	
character=Jay	name=Cleavon McClendon	episodes=1 episode, 2010 	
character=UN Field Reporter	name=Nick Smith	episodes=1 episode, 2010 	
character=Businessman	name=Scott Dawson	episodes=1 episode, 2010 	
character=Pilot	name=Oscar Nuñez	episodes=1 episode, 2003 	
character=Aide	name=Margaret Easley	episodes=1 episode, 2004 	
character=President	name=Margaret Easley	episodes=1 episode, 2004 	
character=Keeler	name=Dana Walters	episodes=1 episode, 2005 	
character=Assistant	name=Dana Walters	episodes=1 episode, 2005 	
character=Doctor Paulson	name=Robb Reesman	episodes=1 episode, 2006 	
character=Flight Attendant 	name=Elaine Kao	episodes=1 episode, 2009 	
character=Secret Service Agent 	name=Mark Atteberry	episodes=1 episode, 2009 	
character=Starkwood ATC	name=Dotan Baer	episodes=1 episode, 2009 	
character=Patrick	name=James Bulliard	episodes=1 episode, 2009 	
character=Attorney 	name=Matthew Lenhart	episodes=1 episode, 2009 	
character=Kayla	name=Mercedes Colon	episodes=1 episode, 2010 	
character=Aide	name=Mercedes Colon	episodes=1 episode, 2010 	
character=Drug Addict	name=Jay Thames	episodes=1 episode, 2010 	
character=CTU Security Guard	name=Brian David Jones	episodes=1 episode, 2010 	
character=Ed	name=Norm Compton	episodes=1 episode, 2003 	
character=Second Reporter	name=Hare	episodes=1 episode, 2004 	
character=Second Reporter	name=Darren O	episodes=1 episode, 2004 	
character=Saunders	name=Robert Bezanilla	episodes=1 episode, 2004 	
character=Mercenary Leader	name=Robert Bezanilla	episodes=1 episode, 2004 	
character=CTU Security Guard	name=Blaine Pate	episodes=1 episode, 2006 	
character=Assad	name=Herzl Tobey	episodes=1 episode, 2007 	
character=Man	name=Herzl Tobey	episodes=1 episode, 2007 	
character=Chuck	name=Peter Smith	episodes=1 episode, 2007 	
character=FBI Agent 	name=Anthony DeSantis	episodes=1 episode, 2009 	
character=Attorney 	name=Daver Morrison	episodes=1 episode, 2009 	
character=IRK Aide	name=Sashi Bommakanty	episodes=1 episode, 2010 	
character=EMT	name=Scott Ferrara	episodes=1 episode, 2010 	
character=EMT	name=Scott Ferrara	episodes=1 episode, 2010 	
character=Dr. Joyner	name=George Alan	episodes=1 episode, 2004 	
character=Lieutenant Colonel	name=Michael Broderick	episodes=1 episode, 2007 	
character=CNB Reporter	name=Ron Pitts	episodes=1 episode, 2009 	
character=Bob Beckel	name=Bob Beckel	episodes=1 episode, 2010 	
character=NHS Security Guard	name=John Bisom	episodes=1 episode, 2003 	
