# http://fitlayout.github.io/resource/art12 -> https://www.imdb.com/title/tt1119644/fullcredits/
character=Olivia Dunham	name=Anna Torv	episodes=100 episodes, 2008-2013 	
character=Second Senator	name=Neil Schell	episodes=1 episode, 2009 	
character=Paul Wiles	name=Mark Lotito	episodes=1 episode, 2009 	
character=ER Doctor	name=Sue Jean Kim	episodes=1 episode, 2009 	
character=Newscaster	name=Ana Berry	episodes=1 episode, 2009 	
character=Nurse 	name=Linnea Johnson	episodes=1 episode, 2009 	
character=Chinese Man	name=Gordon Lai	episodes=1 episode, 2009 	
character=Davis	name=Eric L. Abrams	episodes=1 episode, 2009 	
character=Older Woman	name=Carolyn Feldschuh	episodes=1 episode, 2009 	
character=Shen Chan	name=Vincent Tong	episodes=1 episode, 2010 	
character=MP	name=Darryl Scheelar	episodes=1 episode, 2010 	
character=Girl 	name=Havana Guppy	episodes=1 episode, 2010 	
character=Grown Daughter	name=Stephanie Cudmore	episodes=1 episode, 2010 	
character=Heather	name=Marie West	episodes=1 episode, 2010 	
character=Detective Manning	name=Dan Joffre	episodes=1 episode, 2010 	
character=Andrew Rusk	name=Chazz Menendez	episodes=1 episode, 2010 	
character=Teacher	name=Denise Jones	episodes=1 episode, 2010 	
character=Emily Clayton	name=Tristin Leffler	episodes=1 episode, 2010 	
character=EMT 	name=Robin Nielsen	episodes=1 episode, 2010 	
character=Medical Examiner Tech	name=C. Douglas Quan	episodes=1 episode, 2010 	
character=Lead Cop	name=Terry Howson	episodes=1 episode, 2010 	
character=Vannoy	name=Matthew MacCaull	episodes=1 episode, 2011 	
character=Neighbor	name=Colleen Wheeler	episodes=1 episode, 2011 	
character=Scott Watts	name=Nelson Wong	episodes=1 episode, 2011 	
character=Kim Kimball	name=Erin Simms	episodes=1 episode, 2011 	
character=Fringe Agent 	name=Randal Edwards	episodes=1 episode, 2011 	
character=Nurse Gail	name=Jennifer Koenig	episodes=1 episode, 2011 	
character=January	name=David Haysom	episodes=1 episode, 2011 	
character=Conductor	name=Howard Siegel	episodes=1 episode, 2011 	
character=Agent Bergmann	name=Winson Won	episodes=1 episode, 2011 	
character=Nurse	name=Suzanne Kelly	episodes=1 episode, 2011 	
character=Trenchcoat	name=John Paul McGlynn	episodes=1 episode, 2011 	
character=PFC Tomforde	name=Hector Johnson	episodes=1 episode, 2011 	
character=Danny Mallum	name=Dylan Schmid	episodes=1 episode, 2012 	
character=Air Marshal	name=Ken Kirzinger	episodes=1 episode, 2012 	
character=Klopinski	name=Dejan Loyola	episodes=1 episode, 2012 	
character=Observer 	name=Hrothgar Mathews	episodes=1 episode, 2012 	
character=Kerry Watson	name=Jessie Fraser	episodes=1 episode, 2012 	
character=Shapeshifter in Tank	name=Maja Aro	episodes=1 episode, 2012 	
character=Winston	name=John R. Taylor	episodes=1 episode, 2012 	
character=Willy	name=Roman Podhora	episodes=1 episode, 2012 	
character=Cab Driver	name=Adrian Neblett	episodes=1 episode, 2012 	
character=Warehouse Employee	name=Raphael Kepinski	episodes=1 episode, 2012 	
character=Mr. Roe	name=James Sullivan	episodes=1 episode, 2012 	
character=FBI Agent 	name=Jennifer Lines	episodes=1 episode, 2012 	
character=Daniel	name=Mark Gash	episodes=1 episode, 2012 	
character=Bree Collins	name=Erynn Desiree	episodes=1 episode, 2012 	
character=Lady in Red	name=Victoria Waterhouse	episodes=1 episode, 2012 	
character=Elizabeth	name=Jane Kim	episodes=1 episode, 2008 	
character=Bar Patron	name=Belinda Sinclair	episodes=1 episode, 2008 	
character=Nurse	name=Danielle Skraastad	episodes=1 episode, 2008 	
character=Technician	name=Kevin Isola	episodes=1 episode, 2008 	
character=Man	name=Benim Foster	episodes=1 episode, 2008 	
character=Brian Cole	name=Robert Arcaro	episodes=1 episode, 2008 	
character=Tow Truck Driver	name=Christopher Sapienza	episodes=1 episode, 2008 	
character=CDC Officer	name=Lee Gladman	episodes=1 episode, 2008 	
character=Waitress	name=Sunita Prasad	episodes=1 episode, 2009 	
character=Diana Lamia	name=Jovanna Burke	episodes=1 episode, 2009 	
character=Heavy Set Woman	name=Carrie Keranen	episodes=1 episode, 2009 	
character=Club Girl	name=Angelina Assereto	episodes=1 episode, 2009 	
character=Nurse Darla	name=Linda Ko	episodes=1 episode, 2009 	
character=Terrified Woman	name=Susie Lee	episodes=1 episode, 2009 	
character=Mark	name=Randy Kovitz	episodes=1 episode, 2009 	
character=Orderly	name=Darryl Quon	episodes=1 episode, 2009 	
character=Matt	name=Craig Alan Edwards	episodes=1 episode, 2009 	
character=Detective	name=Jim Coope	episodes=1 episode, 2009 	
character=ND FBI Agent 	name=Brian Christopher O	episodes=1 episode, 2009 	
character=ND FBI Agent 	name=Neill	episodes=1 episode, 2009 	
character=German Prison Guard 	name=Adam Ludwig	episodes=1 episode, 2009 	
character=EMT 	name=Sam Vincent	episodes=1 episode, 2010 	
character=Shelley	name=Barbara Kottmeier	episodes=1 episode, 2010 	
character=Snack Shop Clerk	name=Sachin Sahel	episodes=1 episode, 2010 	
character=Marco	name=Dave Collette	episodes=1 episode, 2010 	
character=Arlette Turling	name=Kristen Ross	episodes=1 episode, 2010 	
character=Mom	name=Tracy Trueman	episodes=1 episode, 2010 	
character=Second Man	name=Fraser Corbett	episodes=1 episode, 2010 	
character=Girl 	name=Madison Guppy	episodes=1 episode, 2010 	
character=Young Boy	name=Peter MacRae	episodes=1 episode, 2010 	
character=Bus Driver	name=Colin Banner	episodes=1 episode, 2010 	
character=Julie Danzig	name=Shauna Johannesen	episodes=1 episode, 2011 	
character=Dr. Grant	name=Nimet Kanji	episodes=1 episode, 2011 	
character=Nurse Sheila	name=Kathryn Kirkpatrick	episodes=1 episode, 2011 	
character=FBI Tech Carl	name=Michael Smith	episodes=1 episode, 2011 	
character=Bobby Joyce	name=Nicolas Ouellette	episodes=1 episode, 2011 	
character=Nurse 	name=Shannon Powell	episodes=1 episode, 2011 	
character=Kidnapper 	name=Ben Geldreich	episodes=1 episode, 2011 	
character=EMT 	name=David Lloyd	episodes=1 episode, 2011 	
character=First Man	name=Justin Kim	episodes=1 episode, 2011 	
character=SWAT 	name=Emmanuel Matovu	episodes=1 episode, 2011 	
character=Waitress	name=Siobhan McCarthy	episodes=1 episode, 2011 	
character=Doctor Brody	name=Janet Kidder	episodes=1 episode, 2012 	
character=Mikey	name=Nelson Leis	episodes=1 episode, 2012 	
character=Brian	name=Sean Owen Roberts	episodes=1 episode, 2012 	
character=Golden Earring	name=Jason Simpson	episodes=1 episode, 2012 	
character=Man in Suit	name=Wesley Salter	episodes=1 episode, 2012 	
character=Orderly	name=Ken Lawson	episodes=1 episode, 2012 	
character=Doctor	name=Desiree Zurowski	episodes=1 episode, 2012 	
character=Woman in Park	name=Debbie Timuss	episodes=1 episode, 2012 	
character=Agent Cole	name=Marc-Anthony Massiah	episodes=1 episode, 2012 	
character=Agent Hanning	name=Mike Li	episodes=1 episode, 2012 	
character=Nurse	name=Marcia Moulton	episodes=1 episode, 2012 	
character=Small Boy	name=Austin Middleton	episodes=1 episode, 2012 	
character=Transit Tattie	name=Christie Watson	episodes=1 episode, 2012 	
character=Bob Englehart	name=Patrick Spencer	episodes=1 episode, 2012 	
character=Observer Surgeon	name=Simon Hill	episodes=1 episode, 2013 	
character=Chief Technician	name=Jennifer Van Dyck	episodes=1 episode, 2008 	
character=Guard	name=Andrew Hinkson	episodes=1 episode, 2008 	
character=Student	name=Brandon Gill	episodes=1 episode, 2008 	
character=Bethany	name=Marcel Simoneau	episodes=1 episode, 2008 	
character=Co-Worker	name=Marcel Simoneau	episodes=1 episode, 2008 	
character=Paul	name=Harry Sutton Jr.	episodes=1 episode, 2008 	
character=Woman at Door	name=Constance Boardman	episodes=1 episode, 2008 	
character=EMT 	name=Chris Jackson	episodes=1 episode, 2009 	
character=Miriam	name=Kelly Kirklyn	episodes=1 episode, 2009 	
character=Paramedic	name=Jeremy Jones	episodes=1 episode, 2009 	
character=Deborah Crampton	name=Donna Yamamoto	episodes=1 episode, 2009 	
character=ND Agent 	name=D. Neil Mark	episodes=1 episode, 2009 	
character=Guard 	name=Victor Chan	episodes=1 episode, 2009 	
character=Secretary	name=Mia Ingimundson	episodes=1 episode, 2009 	
character=Pan Che	name=Zen Lim	episodes=1 episode, 2009 	
character=ND Agent 	name=Shabazz Ray	episodes=1 episode, 2009 	
character=Mom	name=Dina Ann Comolli	episodes=1 episode, 2009 	
character=German Prison Guard 	name=Henning Fischer	episodes=1 episode, 2009 	
character=Nurse	name=Mary Lou Schriber	episodes=1 episode, 2009 	
character=Amanda Walsh	name=Anja Savcic	episodes=1 episode, 2010 	
character=Eliza Staller	name=Nancy Linari	episodes=1 episode, 2010 	
character=Operating Assistant	name=Anthony Shim	episodes=1 episode, 2010 	
character=Male Victim	name=Graeme Duffy	episodes=1 episode, 2010 	
character=Head MP	name=Barry Nerling	episodes=1 episode, 2010 	
character=Jogger	name=Michael Patrick Denis	episodes=1 episode, 2010 	
character=BPD Officer	name=Jordan Weller	episodes=1 episode, 2010 	
character=Emergency Nurse 	name=Tanya Hubbard	episodes=1 episode, 2010 	
character=Female Uniform	name=Tracy Beemer	episodes=1 episode, 2010 	
character=Woomer Baby	name=Xavier Wilson	episodes=1 episode, 2010 	
character=David Wu	name=James Tsai	episodes=1 episode, 2010 	
character=Dr. Christine Albright	name=Karin Konoval	episodes=1 episode, 2011 	
character=EMT 	name=Elfina Luk	episodes=1 episode, 2011 	
character=Julia	name=Jane McGregor	episodes=1 episode, 2011 	
character=Male Passenger	name=John Stewart	episodes=1 episode, 2011 	
character=Joe	name=David Quinlan	episodes=1 episode, 2011 	
character=Harry Millman	name=David Milchard	episodes=1 episode, 2011 	
character=Doctor 	name=Peter Hanlon	episodes=1 episode, 2011 	
character=Hospital Administrator	name=Judith Maxie	episodes=1 episode, 2011 	
character=Tech 	name=Neelam Khabra	episodes=1 episode, 2011 	
character=Fringe Nurse 	name=Lisa Sanson	episodes=1 episode, 2011 	
character=Lacey Hayes	name=Ali Skovbye	episodes=1 episode, 2012 	
character=Maddox 	name=Kirby Morrow	episodes=1 episode, 2012 	
character=Maddox 	name=Kirby Morrow	episodes=1 episode, 2012 	
character=Canaan	name=Kirby Morrow	episodes=1 episode, 2012 	
character=TSA Agent	name=Kevin O	episodes=1 episode, 2012 	
character=TSA Agent	name=Grady	episodes=1 episode, 2012 	
character=Father	name=Daryl Shuttleworth	episodes=1 episode, 2012 	
character=Alt Lincoln	name=Daryl Shuttleworth	episodes=1 episode, 2012 	
character=Security Guard 	name=Adam Lolacher	episodes=1 episode, 2012 	
character=Shapeshifter	name=Matthew Mylrea	episodes=1 episode, 2012 	
character=Bus Driver	name=Ian Thompson	episodes=1 episode, 2012 	
character=Loyalist Tunnel Operator	name=Timothy Lyle	episodes=1 episode, 2013 	
character=Susan Lugo	name=Rosa Arredondo	episodes=1 episode, 2008 	
character=Nd Agent 	name=Jabari Gray	episodes=1 episode, 2008 	
character=Reporter	name=Doug Yasuda	episodes=1 episode, 2008 	
character=Control Room Tech	name=Jasper McGruder	episodes=1 episode, 2008 	
character=Nurse	name=Dianne Zaremba	episodes=1 episode, 2008 	
character=Old Man on Plane	name=Jim McGrath	episodes=1 episode, 2008 	
character=Nurse Maxine	name=Johanna Marlowe	episodes=1 episode, 2009 	
character=Surgeon	name=Christian Vincent	episodes=1 episode, 2009 	
character=Cop	name=Shawn Andrew	episodes=1 episode, 2009 	
character=Joanne	name=Elizabeth A. Davis	episodes=1 episode, 2009 	
character=Medical Examiner	name=Leanne Adachi	episodes=1 episode, 2009 	
character=Zach Miller	name=Jarrett Knowles	episodes=1 episode, 2009 	
character=Salesman	name=Mark Elliot Wilson	episodes=1 episode, 2009 	
character=Husband	name=Fane Tse	episodes=1 episode, 2009 	
character=Mei Lin	name=Fane Tse	episodes=1 episode, 2009 	
character=ND FBI Agent 	name=Vivienne Sendaydiego	episodes=1 episode, 2009 	
character=Waiter	name=Kam Ming Chang	episodes=1 episode, 2009 	
character=ND Agent	name=Crystal Balint	episodes=1 episode, 2010 	
character=Reverend Marcus	name=David Nykl	episodes=1 episode, 2010 	
character=Bus Driver	name=C. Ernst Harth	episodes=1 episode, 2010 	
character=Nurse Maude	name=Raf Rogers	episodes=1 episode, 2010 	
character=Small Child	name=Kennedy Montano	episodes=1 episode, 2010 	
character=Commuter	name=Michael Vairo	episodes=1 episode, 2010 	
character=Grandma	name=Nancy Whyte	episodes=1 episode, 2010 	
character=Young Usher	name=John Russell	episodes=1 episode, 2010 	
character=Old Woman	name=Alex Stevens	episodes=1 episode, 2010 	
character=Older Man	name=Ron M. Knight	episodes=1 episode, 2010 	
character=Doorman	name=Alvin Sanders	episodes=1 episode, 2011 	
character=Jonathan Danzig	name=Sean Michael Kyer	episodes=1 episode, 2011 	
character=Young Woman	name=Nicole Hombrebueno	episodes=1 episode, 2011 	
character=Alt. MP 	name=Todd Mann	episodes=1 episode, 2011 	
character=Neuro Psychologist	name=Roz Murray	episodes=1 episode, 2011 	
character=Jackie Bermudez	name=Byron Noble	episodes=1 episode, 2011 	
character=Man on Street	name=Gary Peterman	episodes=1 episode, 2011 	
character=SWAT 	name=Tyler McMaster	episodes=1 episode, 2011 	
character=Fringe Agent 	name=Jesse Scarf	episodes=1 episode, 2011 	
character=Adorable Old Man	name=Ivan Vance	episodes=1 episode, 2011 	
character=Paige Randall	name=Elysia Rotaru	episodes=1 episode, 2012 	
character=Albert Duncan	name=Jonathan Walker	episodes=1 episode, 2012 	
character=Anne Chung	name=June Kyoto Lu	episodes=1 episode, 2012 	
character=Clerk	name=Ryan Swanson	episodes=1 episode, 2012 	
character=Orderly Sam	name=Donny Lucas	episodes=1 episode, 2012 	
character=Transit Cop	name=Michael Rinaldi	episodes=1 episode, 2012 	
character=Teresa	name=Tracy Waterhouse	episodes=1 episode, 2012 	
character=Loyalist Guard 	name=Jaren Moore	episodes=1 episode, 2012 	
character=Security Guard 	name=Will E. McDonald	episodes=1 episode, 2012 	
character=Lead Observer	name=Kurtis Maguire	episodes=1 episode, 2013 	
character=Dr. Bruce Miller	name=Amir Arison	episodes=1 episode, 2008 	
character=Unit Cop	name=Chris Fischer	episodes=1 episode, 2008 	
character=Old Woman on Plane	name=Joan Barrett	episodes=1 episode, 2008 	
character=Blonde	name=Ashley Hinshaw	episodes=1 episode, 2009 	
character=Jenny Burgess	name=Dalila Bela	episodes=1 episode, 2009 	
character=ER Doctor	name=Elizabeth Thai	episodes=1 episode, 2009 	
character=Gregory Wiles	name=Connor	episodes=1 episode, 2009 	
character=Gregory Wiles	name=Jake O	episodes=1 episode, 2009 	
character=Mover	name=Derek Morrison	episodes=1 episode, 2009 	
character=Mei Lin	name=Rene Wang	episodes=1 episode, 2009 	
character=Receptionist	name=Laura Mann	episodes=1 episode, 2009 	
character=Receptionist	name=Ava Galgani	episodes=1 episode, 2009 	
character=Archie Donnelly	name=Phil Nee	episodes=1 episode, 2009 	
character=Man	name=Manuel Cabral	episodes=1 episode, 2009 	
character=ND Agent	name=Kevin Sibley	episodes=1 episode, 2009 	
character=Boy in Restaurant	name=Matteo Mazziotti	episodes=1 episode, 2009 	
character=Alt. DOD MP 	name=Nigel Vonas	episodes=1 episode, 2010 	
character=Bus Passenger	name=Winnie Hung	episodes=1 episode, 2010 	
character=Police Officer	name=Robert Parent	episodes=1 episode, 2010 	
character=Dying Woman	name=Erin Lacourciere	episodes=1 episode, 2010 	
character=EMT 	name=Jennifer Mawhinney	episodes=1 episode, 2010 	
character=Gas Station Attendant	name=Gino Cocomello	episodes=1 episode, 2010 	
character=Agent Roach	name=Colin Lawrence	episodes=1 episode, 2011 	
character=Jack	name=Travis Nelson	episodes=1 episode, 2011 	
character=Nurse on Phone	name=Denise Pillott	episodes=1 episode, 2011 	
character=Oscar	name=Mark Sweatman	episodes=1 episode, 2011 	
character=Tattoo Man	name=Rhys Williams	episodes=1 episode, 2011 	
character=George	name=Ian Robison	episodes=1 episode, 2011 	
character=Transient	name=Raymond Sammel	episodes=1 episode, 2011 	
character=FBI Tech	name=Lee Vincent	episodes=1 episode, 2011 	
character=Mother	name=Juno Rinaldi	episodes=1 episode, 2012 	
character=Jeremy	name=Scott Vickaryous	episodes=1 episode, 2012 	
character=Guard	name=Kris McRonney	episodes=1 episode, 2012 	
character=Hive 	name=Joel McGowan	episodes=1 episode, 2012 	
character=Vagrant	name=Michael Rys	episodes=1 episode, 2012 	
character=Coffee Barista	name=Janet Pinnick	episodes=1 episode, 2012 	
character=Loyalist Guard 	name=Graham Myers	episodes=1 episode, 2012 	
character=Traffic Control Loyalist	name=Chad Matchette	episodes=1 episode, 2013 	
character=Smitty	name=Andre B. Blake	episodes=1 episode, 2008 	
character=Ed 	name=Andre B. Blake	episodes=1 episode, 2008 	
character=Smith	name=Andre B. Blake	episodes=1 episode, 2008 	
character=Anna Jiminez	name=Mira Tzur	episodes=1 episode, 2008 	
character=Agent 	name=Jeff Topping	episodes=1 episode, 2008 	
character=ND Agent 	name=Avis Boone	episodes=1 episode, 2008 	
character=ER Nurse	name=Deborah Twiss	episodes=1 episode, 2009 	
character=Carl Langdon	name=Drew Nelson	episodes=1 episode, 2009 	
character=Boyfriend	name=Dean McKenzie	episodes=1 episode, 2009 	
character=Wife	name=Dean McKenzie	episodes=1 episode, 2009 	
character=Morgue Attendant	name=Trevor Carroll	episodes=1 episode, 2009 	
character=Ponytail Man	name=Miles Meadows	episodes=1 episode, 2009 	
character=Second Chinese Man	name=Raymond Yu	episodes=1 episode, 2009 	
character=Bouncer	name=Darren Copeland	episodes=1 episode, 2009 	
character=Lisa Duffy	name=Eliza Norbury	episodes=1 episode, 2010 	
character=Nurse Alice	name=Ricki Prosper	episodes=1 episode, 2010 	
character=Female Patient	name=Ntsiki Kheswa	episodes=1 episode, 2010 	
character=Karl	name=Alan Wong	episodes=1 episode, 2010 	
character=Ned Dolan	name=Haig Sutherland	episodes=1 episode, 2011 	
character=Gary	name=Michael Ryan	episodes=1 episode, 2011 	
character=Woman	name=Melissa R. Stubbs	episodes=1 episode, 2011 	
character=Jack	name=Todd Thomson	episodes=1 episode, 2011 	
character=Pediatric Nurse	name=Courtney Lancaster	episodes=1 episode, 2011 	
character=Aaron Downey	name=Todd Scott	episodes=1 episode, 2011 	
character=Landlord	name=Ken Roberts	episodes=1 episode, 2011 	
character=CSI Tech	name=Nancy J. Lilley	episodes=1 episode, 2011 	
character=Canaan	name=Michelle C. Smith	episodes=1 episode, 2012 	
character=Hoodie	name=Shawn Robidoux	episodes=1 episode, 2012 	
character=Observer 	name=Gardiner Millar	episodes=1 episode, 2013 	
character=Alt Universe Fringe Agent 	name=Tara Pratt	episodes=1 episode, 2013 	
character=Special Agent Martin	name=Karl Kenzler	episodes=1 episode, 2008 	
character=Agent 	name=Sean Clement	episodes=1 episode, 2008 	
character=Reporter	name=Stacey Nelkin	episodes=1 episode, 2009 	
character=Medical Examiner	name=Kevan Ohtsji	episodes=1 episode, 2009 	
character=Another Nurse	name=Angela Moore	episodes=1 episode, 2009 	
character=Mom	name=Marnie Schulenburg	episodes=1 episode, 2009 	
character=Todd Pears	name=Duane McLaughlin	episodes=1 episode, 2009 	
character=Receptionist	name=Allison Riley	episodes=1 episode, 2009 	
character=Transit Cop	name=Walcott E. Morgan	episodes=1 episode, 2009 	
character=Security Guard	name=Omari Newton	episodes=1 episode, 2010 	
character=Emergency Nurse 	name=Iris Paluly	episodes=1 episode, 2010 	
character=Vandenkemp	name=Nicholas W. von Zill	episodes=1 episode, 2010 	
character=Teenage Boy	name=Christopher Kim Sing	episodes=1 episode, 2010 	
character=Rose Son, Age 7	name=Nicolas Russo	episodes=1 episode, 2010 	
character=Joe	name=Jim Shield	episodes=1 episode, 2011 	
character=Jack	name=Karly Warkentin	episodes=1 episode, 2011 	
character=Wife	name=Karly Warkentin	episodes=1 episode, 2011 	
character=Security 	name=Aaron Isaacs	episodes=1 episode, 2011 	
character=Danny	name=Jarrod Terrell	episodes=1 episode, 2011 	
character=Father Louis	name=Moishe Teichman	episodes=1 episode, 2012 	
character=Orderly Charles	name=Munish Sharma	episodes=1 episode, 2012 	
character=Amon	name=Ivan Wanis-Ruiz	episodes=1 episode, 2013 	
character=Observer 	name=James Ralph	episodes=1 episode, 2013 	
character=Agent 	name=Katerina Taxia	episodes=1 episode, 2008 	
character=Bradley	name=Village	episodes=1 episode, 2008 	
character=Greg Leiter	name=Jim Thorburn	episodes=1 episode, 2009 	
character=Mako	name=Dante Nero	episodes=1 episode, 2009 	
character=Tech Two	name=Christian Pedersen	episodes=1 episode, 2009 	
character=George	name=Mike Mitchell	episodes=1 episode, 2009 	
character=Nociforo	name=Ian Rozylo	episodes=1 episode, 2009 	
character=Alex Koslov	name=Yaroslav Poverlo	episodes=1 episode, 2009 	
character=Tucker	name=Jeremy Zorek	episodes=1 episode, 2009 	
character=ND Swat 	name=Robert Matzelle	episodes=1 episode, 2009 	
character=Doctor 	name=Shaughnessy Redden	episodes=1 episode, 2010 	
character=Agent 	name=Quelemia Sparrow	episodes=1 episode, 2010 	
character=Pedestrian	name=Pablo Silveira	episodes=1 episode, 2010 	
character=Female EMT	name=Georgia Hacche	episodes=1 episode, 2010 	
character=FBI Agent Frazier	name=Stephen Lobo	episodes=1 episode, 2011 	
character=Mary	name=Sheila Tyson	episodes=1 episode, 2011 	
character=Kara	name=Carri Toivanen	episodes=1 episode, 2011 	
character=Lone Traveler	name=John Treleaven	episodes=1 episode, 2011 	
character=Doctor 	name=Matthew Thiessen	episodes=1 episode, 2011 	
character=Cop 	name=Mike Waterman	episodes=1 episode, 2011 	
character=Observer With Windmark	name=Alan Silverman	episodes=1 episode, 2012 	
character=Bank Manager Grimes	name=Frank Deal	episodes=1 episode, 2008 	
character=Agent 	name=Anousha Alamian	episodes=1 episode, 2008 	
character=Courier	name=Christian Sloan	episodes=1 episode, 2009 	
character=Detective Green	name=Alex Zahara	episodes=1 episode, 2009 	
character=Bookstore Customer	name=Ben Van Bergen	episodes=1 episode, 2009 	
character=Speaker	name=Natalie von Rotsburg	episodes=1 episode, 2010 	
character=Mother	name=Yolanda Jessel	episodes=1 episode, 2010 	
character=Nate	name=Keenan Tracey	episodes=1 episode, 2011 	
character=ND Agent 	name=Lisa Norton	episodes=1 episode, 2011 	
character=Tommy	name=Andrew Zachar	episodes=1 episode, 2011 	
character=Dillon	name=Sylvesta Stuart	episodes=1 episode, 2011 	
character=Citizen Observer	name=Dave Thompson	episodes=1 episode, 2012 	
character=H.I. Worker	name=Emily Brownell	episodes=1 episode, 2008 	
character=Nurse	name=Kelly King	episodes=1 episode, 2008 	
character=HR Head	name=Veena Sood	episodes=1 episode, 2009 	
character=Jenna	name=Ecstasia Sanders	episodes=1 episode, 2010 	
character=Senator	name=Veenu Sandhu	episodes=1 episode, 2010 	
character=Aide	name=Veenu Sandhu	episodes=1 episode, 2010 	
character=Bike Messenger	name=Kimani Ray Smith	episodes=1 episode, 2010 	
character=Translucent Man	name=Michael Karl Richards	episodes=1 episode, 2011 	
character=Screaming Woman	name=Kelly Ann Woods	episodes=1 episode, 2011 	
character=Security 	name=Richard Stroh	episodes=1 episode, 2011 	
character=Resistance Member in Truck	name=Michael Soltis	episodes=1 episode, 2013 	
character=Alt Universe Fringe Agent 	name=Andrea Yu	episodes=1 episode, 2013 	
character=Surveyor 	name=R.J. Foster	episodes=1 episode, 2008 	
character=Iraqi Businessman 	name=Tauqir Shah	episodes=1 episode, 2008 	
character=Randy Dancik	name=Joe Towne	episodes=1 episode, 2009 	
character=Resident Doctor	name=Melanie Walden	episodes=1 episode, 2010 	
character=Grocer	name=Sal Sortino	episodes=1 episode, 2010 	
character=Harry Staller	name=Leonard Tenisci	episodes=1 episode, 2010 	
character=Amy Danzig	name=Charlotte Williams	episodes=1 episode, 2011 	
character=Loyalist in Apartment 	name=Hugo Steele	episodes=1 episode, 2013 	
character=Loyalist Nurse	name=Vanessa Zachos	episodes=1 episode, 2013 	
character=Surveyor 	name=Greg Schmalbach	episodes=1 episode, 2008 	
character=Iraqi Businessman 	name=Omar Habib	episodes=1 episode, 2008 	
character=Jillian Foster	name=Larissa Stadnichuk	episodes=1 episode, 2010 	
character=Dick	name=Greg Webb	episodes=1 episode, 2011 	
character=Secretary Carol	name=Sharon Taylor	episodes=1 episode, 2013 	
character=Boyles	name=Sharon Taylor	episodes=1 episode, 2013 	
character=Orderly	name=Quinn Martin	episodes=1 episode, 2008 	
character=Male EMT	name=Adam Thomas	episodes=1 episode, 2010 	
character=Eric Franko	name=Max Train	episodes=1 episode, 2010 	
character=Gurney	name=Tre Smith	episodes=1 episode, 2008 	
character=Man with John	name=Tre Smith	episodes=1 episode, 2008 	
character=Surveyor 	name=Eric Chan	episodes=1 episode, 2008 	
character=Agent Doble	name=Francisco Trujillo	episodes=1 episode, 2010 	
character=Receptionist	name=Daesha Danielle Usman	episodes=1 episode, 2010 	
character=Loyalist in Apartment 	name=Felipe Vecino	episodes=1 episode, 2013 	
character=David Staller	name=Brendon Zub	episodes=1 episode, 2010 	
character=Homeless Man	name=Jason Vaisvila	episodes=1 episode, 2010 	
character=Dying Observer Egg Face	name=Greg Zach	episodes=1 episode, 2013 	
character=Lawyer	name=Kristopher West	episodes=1 episode, 2010 	
character=ND Agent 	name=James Hook	episodes=1 episode, 2008 	
character=Nurse	name=Kyra Zagorsky	episodes=1 episode, 2010 	
character=Female Victim	name=Gabriela Zimmerman	episodes=1 episode, 2010 	
character=FBI Agent	name=Frank Anello	episodes=3 episodes, 2008-2010 	
character=Nina	name=Jacqueline Beaulieu	episodes=3 episodes, 2008 	
character=Assistant	name=Jacqueline Beaulieu	episodes=3 episodes, 2008 	
character=Observer	name=Eric Floyd	episodes=3 episodes, 2012-2013 	
character=Man 	name=David Shumbris	episodes=2 episodes, 2008-2009 	
character=FBI Agent	name=Takako Haywood	episodes=2 episodes, 2008 	
character=Boston Fireman	name=Danny Doherty	episodes=2 episodes, 2009-2010 	
character=Dying Patient	name=Jeny Cassady	episodes=2 episodes, 2009 	
character=Civilian	name=Tom MacNeill	episodes=2 episodes, 2010-2012 	
character=Civilian	name=Sherry Nelson	episodes=2 episodes, 2010-2011 	
character=Cab Driver	name=Cameron K. Smith	episodes=2 episodes, 2010 	
character=Ian Spencer	name=John Boyd	episodes=1 episode, 2008 	
character=Reporter 	name=Kathy Searle	episodes=1 episode, 2008 	
character=Sergeant Stuart Malick	name=Justin Doescher	episodes=1 episode, 2008 	
character=Sister	name=Karin Agstam	episodes=1 episode, 2008 	
character=Agent Scott	name=Karin Agstam	episodes=1 episode, 2008 	
character=Construction Foreman	name=Timothy J. Cox	episodes=1 episode, 2008 	
character=Mental Patient	name=Harry L. Seddon	episodes=1 episode, 2008 	
character=FBI Ops Agent	name=Vladimir Troitsky	episodes=1 episode, 2008 	
character=Orderly	name=Dennis Jay Funny	episodes=1 episode, 2008 	
character=Man on Plane	name=Dl MacDonald	episodes=1 episode, 2008 	
character=Joseph Smith	name=Ian Mclaughlin	episodes=1 episode, 2008 	
character=Traveler	name=Anjuli Sanneman	episodes=1 episode, 2008 	
character=Taxi Driver	name=Mustafa Cimen	episodes=1 episode, 2008 	
character=O.R. Nurse	name=Mark Vincent	episodes=1 episode, 2008 	
character=Stuart	name=Brandon Alan Smith	episodes=1 episode, 2008 	
character=College Student	name=Andrew Bradley	episodes=1 episode, 2008 	
character=Additional	name=Patrick Bradford	episodes=1 episode, 2008 	
character=Biohazard Tech	name=Loukas Papas	episodes=1 episode, 2008 	
character=Mental Patient	name=David Pachucki	episodes=1 episode, 2008 	
character=Cow Delivery Man	name=Rick Parker	episodes=1 episode, 2008 	
character=German Airline Pilot	name=Paul Jude Letersky	episodes=1 episode, 2008 	
